"sampleobscore_id";"category_key"
33018;"Pesticides"
32757;"Pesticides"
32752;"Pesticides"
32761;"Pesticides"
32632;"Pesticides"
32711;"Pesticides"
32686;"Pesticides"
32769;"Pesticides"
33022;"Pesticides"
32993;"Flame retardants"
32992;"Flame retardants"
32991;"Flame retardants"
33026;"Pesticides"
32625;"Phthalates"
33484;"Property of urine"
33023;"Pesticides"
33024;"Phthalates"
33002;"Herbicides"
33003;"Herbicides"
33004;"Herbicides"
33005;"Herbicides"
33006;"Herbicides"
33007;"Herbicides"
33115;"Pesticides"
33025;"Pesticides"
32847;"Genotoxicity"
32754;"UV-filters (benzophenones)"
32908;"UV-filters (benzophenones)"
33029;"Phthalates"
33021;"Pesticides"
33028;"Pesticides"
33027;"Pesticides"
32707;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32688;"Herbicides"
32713;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32760;"Anilines and MOCA"
33009;"Pesticides"
32798;"Herbicides"
33036;"Organochlorine compounds (OCs)"
33034;"Metals"
33300;"Aprotic solvents"
33033;"Pesticides"
32843;"Polycyclic Aromatic Hydrocarbons (PAHs)"
33030;"Pesticides"
32766;"Polycyclic Aromatic Hydrocarbons (PAHs)"
33031;"Pesticides"
33032;"Pesticides"
33010;"Flame retardants"
33011;"Phthalates"
33000;"Mycotoxins"
32994;"Mycotoxins"
33166;"Per-/poly-fluorinated compounds (PFASs)"
32999;"Mycotoxins"
33001;"Mycotoxins"
33035;"Pesticides"
33037;"Phthalates"
33037;"Flame retardants"
33038;"Pesticides"
32709;"Flame retardants"
33039;"Property of soil"
33043;"Steroid/Sex hormones"
32776;"Glycol ethers"
33044;"Glycol ethers"
32778;"Flame retardants"
32779;"Flame retardants"
33173;"Per-/poly-fluorinated compounds (PFASs)"
33164;"Per-/poly-fluorinated compounds (PFASs)"
33174;"Per-/poly-fluorinated compounds (PFASs)"
33040;"Pesticides"
32715;"Pesticides"
33049;"Inflammation and immunity"
32833;"UV-filters (benzophenones)"
33503;"Blood and blood composition"
33041;"Blood and blood composition"
33042;"Blood and blood composition"
32730;"Steroid/Sex hormones"
32820;"Anilines and MOCA"
33182;"Per-/poly-fluorinated compounds (PFASs)"
33179;"Per-/poly-fluorinated compounds (PFASs)"
33046;"Parabens"
33045;"Pesticides (carbamate)"
32877;"Mycotoxins"
33062;"Mycotoxins"
32924;"Bisphenols"
32927;"Bisphenols"
32930;"Bisphenols"
32933;"Bisphenols"
32936;"Bisphenols"
32939;"Bisphenols"
32942;"Bisphenols"
33064;"Mycotoxins"
33063;"Mycotoxins"
32996;"Mycotoxins"
33134;"Metals"
33050;"Essential elements"
33051;"Pesticides"
33052;"Pesticides"
32680;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32834;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32835;"Pesticides"
33054;"Polycyclic Aromatic Hydrocarbons (PAHs)"
33290;"Pesticides"
32774;"Pesticides"
33055;"Polycyclic Aromatic Hydrocarbons (PAHs)"
33053;"Pesticides"
32806;"Pesticides"
32764;"Pesticides"
33185;"Per-/poly-fluorinated compounds (PFASs)"
32819;"Anilines and MOCA"
32968;"Polycyclic Aromatic Hydrocarbons (PAHs)"
33165;"Per-/poly-fluorinated compounds (PFASs)"
32829;"UV-filters (benzophenones)"
32830;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32958;"Pesticides"
32832;"UV-filters (benzophenones)"
32831;"Flame retardants"
32816;"Pesticides"
32634;"Anilines and MOCA"
32634;"Diisocyanates"
32825;"Anilines and MOCA"
32828;"Pesticides (pyrethroids)"
33057;"Steroid/Sex hormones"
33058;"Steroid/Sex hormones"
33059;"Steroid/Sex hormones"
33056;"Steroid/Sex hormones"
33061;"Thyroid hormones"
33060;"Thyroid hormones"
32944;"Mycotoxins"
33067;"Metals"
33066;"Musks"
33291;"Acrylamide"
33068;"Liver function"
33288;"Acrylamide"
33069;"Organochlorine compounds (OCs)"
