"sampleobsbase_id";"sampleobsbase_relatedto_id";"relation"
36348;36360;"parentcompound"
36378;36607;"parentcompound"
36382;36607;"parentcompound"
36389;36607;"parentcompound"
36377;36606;"parentcompound"
36376;36606;"parentcompound"
36390;36606;"parentcompound"
36391;36612;"parentcompound"
36375;36605;"parentcompound"
36392;36605;"parentcompound"
36393;36613;"parentcompound"
36362;36603;"parentcompound"
36365;36603;"parentcompound"
36363;36603;"parentcompound"
36369;36603;"parentcompound"
36367;36603;"parentcompound"
36352;36600;"parentcompound"
36370;36600;"parentcompound"
36371;36600;"parentcompound"
36374;36600;"parentcompound"
36350;36600;"parentcompound"
36372;36600;"parentcompound"
36373;36600;"parentcompound"
36058;36058;"parentcompound"
36447;36447;"parentcompound"
36448;36448;"parentcompound"
36449;36449;"parentcompound"
36450;36450;"parentcompound"
36231;36231;"parentcompound"
36230;36231;"parentcompound"
36380;36608;"parentcompound"
36381;36358;"parentcompound"
36272;36573;"parentcompound"
36270;36573;"parentcompound"
36271;36573;"parentcompound"
36386;36611;"parentcompound"
36227;36559;"parentcompound"
36234;36562;"parentcompound"
36235;36562;"parentcompound"
36333;36592;"parentcompound"
36087;36556;"parentcompound"
36329;36585;"parentcompound"
36332;36590;"parentcompound"
36332;36591;"parentcompound"
36333;36591;"parentcompound"
36278;36325;"parentcompound"
36325;36325;"parentcompound"
36451;36451;"parentcompound"
36452;36452;"parentcompound"
36428;36452;"parentcompound"
36420;36452;"parentcompound"
36413;36452;"parentcompound"
36059;36059;"parentcompound"
36064;36059;"parentcompound"
36060;36060;"parentcompound"
36061;36061;"parentcompound"
36062;36062;"parentcompound"
35724;36525;"parentcompound"
36279;36279;"parentcompound"
36254;36279;"parentcompound"
36238;36563;"parentcompound"
36240;36563;"parentcompound"
35875;35875;"parentcompound"
35876;35876;"parentcompound"
35877;35877;"parentcompound"
35878;35878;"parentcompound"
35879;35879;"parentcompound"
36240;36339;"parentcompound"
36238;36339;"parentcompound"
36229;36561;"parentcompound"
36232;36561;"parentcompound"
35880;35880;"parentcompound"
36063;36063;"parentcompound"
36315;36323;"parentcompound"
36323;36323;"parentcompound"
36316;36323;"parentcompound"
36304;36323;"parentcompound"
36453;36453;"parentcompound"
36014;36014;"parentcompound"
36115;36115;"parentcompound"
36116;36116;"parentcompound"
36117;36117;"parentcompound"
36118;36118;"parentcompound"
36119;36119;"parentcompound"
36095;36119;"branched version of"
36120;36120;"parentcompound"
36121;36121;"parentcompound"
36122;36122;"parentcompound"
36123;36123;"parentcompound"
36124;36124;"parentcompound"
36125;36125;"parentcompound"
36126;36126;"parentcompound"
36127;36127;"parentcompound"
36128;36128;"parentcompound"
36129;36129;"parentcompound"
36130;36130;"parentcompound"
36132;36132;"parentcompound"
36097;36132;"branched version of"
36133;36133;"parentcompound"
36131;36131;"parentcompound"
36096;36131;"branched version of"
36098;36134;"branched version of"
36134;36134;"parentcompound"
36135;36135;"parentcompound"
36099;36137;"branched version of"
36137;36137;"parentcompound"
36138;36138;"parentcompound"
36139;36139;"parentcompound"
36140;36140;"parentcompound"
36141;36141;"parentcompound"
36157;36157;"parentcompound"
36160;36160;"parentcompound"
36161;36161;"parentcompound"
36136;36136;"parentcompound"
36100;36142;"branched version of"
36142;36142;"parentcompound"
36143;36143;"parentcompound"
36144;36144;"parentcompound"
36101;36145;"branched version of"
36145;36145;"parentcompound"
36146;36146;"parentcompound"
36102;36146;"branched version of"
36147;36147;"parentcompound"
36148;36148;"parentcompound"
36103;36149;"branched version of"
36149;36149;"parentcompound"
36104;36150;"branched version of"
36150;36150;"parentcompound"
36105;36151;"branched version of"
36151;36151;"parentcompound"
36152;36152;"parentcompound"
36106;36153;"branched version of"
36153;36153;"parentcompound"
36154;36154;"parentcompound"
36107;36155;"branched version of"
36155;36155;"parentcompound"
36156;36156;"parentcompound"
36158;36158;"parentcompound"
36159;36159;"parentcompound"
36108;36159;"branched version of"
36162;36162;"parentcompound"
36163;36163;"parentcompound"
36109;36163;"branched version of"
36164;36164;"parentcompound"
36110;36165;"branched version of"
36165;36165;"parentcompound"
36166;36166;"parentcompound"
36167;36167;"parentcompound"
36168;36168;"parentcompound"
36111;36169;"branched version of"
36169;36169;"parentcompound"
36112;36170;"branched version of"
36170;36170;"parentcompound"
36171;36171;"parentcompound"
36113;36172;"branched version of"
36172;36172;"parentcompound"
36173;36173;"parentcompound"
36114;36174;"branched version of"
36174;36174;"parentcompound"
36175;36175;"parentcompound"
36018;36018;"parentcompound"
35742;35742;"parentcompound"
35743;35743;"parentcompound"
36302;36579;"parentcompound"
36091;36557;"parentcompound"
36019;36019;"parentcompound"
35722;35722;"parentcompound"
35723;35723;"parentcompound"
36313;36313;"parentcompound"
36319;36319;"parentcompound"
36295;36319;"parentcompound"
36311;36581;"parentcompound"
35762;36530;"parentcompound"
35760;36530;"parentcompound"
35761;36531;"parentcompound"
35763;36531;"parentcompound"
35747;35747;"parentcompound"
35765;36533;"parentcompound"
35766;36533;"parentcompound"
35768;36533;"parentcompound"
35767;36532;"parentcompound"
35764;36532;"parentcompound"
36399;36454;"parentcompound"
36411;36454;"parentcompound"
36405;36454;"parentcompound"
36410;36454;"parentcompound"
36416;36454;"parentcompound"
36414;36454;"parentcompound"
36408;36454;"parentcompound"
36454;36454;"parentcompound"
36065;36065;"parentcompound"
36066;36066;"parentcompound"
36067;36067;"parentcompound"
36068;36067;"parentcompound"
35882;35882;"parentcompound"
35748;35748;"parentcompound"
35749;35749;"parentcompound"
35750;35750;"parentcompound"
35752;35752;"parentcompound"
35753;35753;"parentcompound"
35754;35754;"parentcompound"
36250;36568;"parentcompound"
36069;36069;"parentcompound"
35883;35883;"parentcompound"
35884;35884;"parentcompound"
35885;35885;"parentcompound"
35886;35886;"parentcompound"
36331;36588;"parentcompound"
36332;36588;"parentcompound"
36427;36455;"parentcompound"
36421;36455;"parentcompound"
36415;36455;"parentcompound"
36406;36455;"parentcompound"
36398;36455;"parentcompound"
36455;36455;"parentcompound"
36429;36455;"parentcompound"
36409;36455;"parentcompound"
